reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
44,89,83,0,53,53,48,102.54138537500148,103.5243100000007,103.5243100000007,103.53116304200012,l,1.2670787500010192,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
22,60,46,0,54,54,58,104.80822912500116,105.79105133400117,105.79105133400117,105.7979018340011,l,1.1849594579998666,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
16,43,16,0,55,55,77,106.99697037500118,107.97447066700079,107.97447066700079,107.99104312500094,l,0.6253541659989423,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
17,50,44,0,56,56,11,108.624852500001,109.60789758400097,109.60789758400097,109.61463366700082,l,2.5201859999997396,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
33,78,97,0,57,57,22,112.14741112500087,113.13368316700144,113.13368316700144,113.14029750000009,t,0.5080307919997722,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
24,77,32,0,58,58,99,113.658888209,114.64129504199991,114.64129504199991,114.64806008400046,l,0.45738512500065553,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
35,72,49,0,59,59,50,115.1213864170004,116.10806791700088,116.10806791700088,116.11471900000106,l,0.8110282079996978,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
43,83,18,0,60,60,47,116.9422595420001,117.92494170900136,117.92494170900136,117.93174091700166,l,0.45045337500050664,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
44,76,95,0,61,61,37,118.39260758400087,119.37486020899996,119.37486020899996,119.39142575000005,t,0.6664271669997106,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
33,55,60,0,62,62,15,120.05807066700072,121.04162883400022,121.04162883400022,121.04924295900128,l,0.516791292000562,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
41,50,76,0,63,63,60,121.57604566700138,122.55827529199996,122.55827529199996,122.57496229200115,l,0.7117317909996927,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
39,30,99,0,64,64,54,123.29201541700058,124.27502291700148,124.27502291700148,124.2816474170013,t,0.7836475000003702,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
44,67,11,0,65,65,21,125.07520583400037,126.05840483400061,126.05840483400061,126.06508320900139,l,0.46961833299974387,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
15,55,56,0,66,66,49,126.5475809590007,127.52507204200083,127.52507204200083,127.54181425000024,l,0.6646597500002827,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
29,40,98,0,67,67,84,128.20916333400055,129.184768000001,129.184768000001,129.2257951669999,t,1.3920920420005132,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
14,64,24,0,68,68,17,130.59768150000127,131.57532691699998,131.57532691699998,131.59195095900031,l,0.5562460840010317,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
27,57,18,0,69,69,94,132.1484345000008,133.12531912500162,133.12531912500162,133.14195029200164,l,0.557280457998786,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
44,70,81,0,70,70,18,133.70998837500156,134.69224179200137,134.69224179200137,134.70872766700086,l,0.47477558399987174,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
47,83,51,0,71,71,19,135.19077387500147,136.17546404200039,136.17546404200039,136.18220787500104,t,0.43979995799963945,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
37,60,17,0,72,72,85,136.63176941700112,137.6087657500011,137.6087657500011,137.62543191700024,l,0.5941125000008469,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
10,77,19,0,73,73,70,138.22662920900075,139.208903834,139.208903834,139.22554816699994,l,0.4700244589985232,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
28,32,43,0,74,74,53,139.69811495900103,140.68498633400122,140.68498633400122,140.69167941700107,l,0.7534734159999061,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
21,69,28,0,75,75,83,141.46027345900075,142.44237975000033,142.44237975000033,142.4590150840013,l,0.46069224999882863,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
42,72,98,0,76,76,45,142.92732366700147,143.90906041700146,143.90906041700146,143.92578320900066,t,0.38717512499897566,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
15,20,35,0,77,77,64,144.31538870900113,145.30171012500068,145.30171012500068,145.3085883750009,l,0.9496428329985065,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
15,35,13,0,78,78,1,146.2763963340003,147.25175420900086,147.25175420900086,147.265874875,l,0.4813762090016098,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
16,70,88,0,79,79,89,147.74962929200046,148.73501379200025,148.73501379200025,148.74175462499988,t,0.44947983299971384,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
45,64,100,0,80,80,25,149.2093810840015,150.19264866699996,150.19264866699996,150.19982458400045,t,0.5417528750003839,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
11,30,7,0,81,81,0,150.7610285840001,151.74277362500106,151.74277362500106,151.75929445900147,l,0.7426663749993168,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
10,55,53,0,82,82,82,152.5103129170002,153.49280637500124,153.49280637500124,153.49993120900035,l,0.917997041999115,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
40,47,94,0,83,83,90,154.43083087500054,155.40941354200004,155.40941354200004,155.42614154200055,t,0.5375386249997973,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
24,63,90,0,84,84,79,155.96378216700032,156.9519673750001,156.9519673750001,156.95872991700162,t,0.47863545900145255,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
27,50,21,0,85,85,2,157.4487737090003,158.42623641700084,158.42623641700084,158.442870709001,l,0.5023922919990582,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
26,42,38,0,86,86,12,158.94919516700065,159.93556929199985,159.93556929199985,159.94235670900161,l,0.5841212919985992,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
34,68,39,0,87,87,10,160.5434977090008,161.5263894590007,161.5263894590007,161.532915709,l,0.5389073340011237,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
29,33,44,0,88,88,95,162.0836365840005,163.06855112500125,163.06855112500125,163.07655470900136,l,0.753416458999709,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
40,51,76,0,89,89,80,163.8435920840002,164.82683762500164,164.82683762500164,164.83490958400034,t,0.7038730830008717,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
