38.7818 	EXP 	text: autoDraw = True
38.7884 	EXP 	Fixation: autoDraw = False
39.0405 	EXP 	New trial (rep=0, index=21): {'reward_today': 14, 'future_reward': 45, 'delay': 96}
39.0497 	DATA 	Keypress: t
39.0543 	EXP 	Fixation: autoDraw = False
39.0543 	EXP 	text: autoDraw = False
39.0543 	EXP 	text: height = 0.05
39.0543 	EXP 	text: height = 0.05
39.0543 	EXP 	text: height = 0.05
39.0543 	EXP 	text: text = 'GBP 14 today or GBP 45 after 96 days'
39.0543 	EXP 	Fixation: autoDraw = True
40.0398 	EXP 	text: autoDraw = True
40.0485 	EXP 	Fixation: autoDraw = False
40.2337 	EXP 	New trial (rep=0, index=22): {'reward_today': 12, 'future_reward': 73, 'delay': 100}
40.2436 	DATA 	Keypress: t
40.2487 	EXP 	Fixation: autoDraw = False
40.2487 	EXP 	text: autoDraw = False
40.2487 	EXP 	text: height = 0.05
40.2487 	EXP 	text: height = 0.05
40.2487 	EXP 	text: height = 0.05
40.2487 	EXP 	text: text = 'GBP 12 today or GBP 73 after 100 days'
40.2487 	EXP 	Fixation: autoDraw = True
41.2239 	EXP 	text: autoDraw = True
41.2379 	EXP 	Fixation: autoDraw = False
41.4838 	EXP 	New trial (rep=0, index=23): {'reward_today': 20, 'future_reward': 69, 'delay': 51}
41.4934 	DATA 	Keypress: t
41.4986 	EXP 	Fixation: autoDraw = False
41.4986 	EXP 	text: autoDraw = False
41.4986 	EXP 	text: height = 0.05
41.4986 	EXP 	text: height = 0.05
41.4986 	EXP 	text: height = 0.05
41.4986 	EXP 	text: text = 'GBP 20 today or GBP 69 after 51 days'
41.4986 	EXP 	Fixation: autoDraw = True
42.4820 	EXP 	text: autoDraw = True
42.4886 	EXP 	Fixation: autoDraw = False
42.5041 	DATA 	Keypress: l
42.5107 	EXP 	New trial (rep=0, index=24): {'reward_today': 11, 'future_reward': 51, 'delay': 87}
42.5232 	EXP 	Fixation: autoDraw = False
42.5232 	EXP 	text: autoDraw = False
42.5232 	EXP 	text: height = 0.05
42.5232 	EXP 	text: height = 0.05
42.5232 	EXP 	text: height = 0.05
42.5232 	EXP 	text: text = 'GBP 11 today or GBP 51 after 87 days'
42.5232 	EXP 	Fixation: autoDraw = True
43.5067 	EXP 	text: autoDraw = True
43.5152 	EXP 	Fixation: autoDraw = False
